Time	f(number(86400)/count()) – Bitcoin
06.11.2014	561.038961038961
07.11.2014	576
08.11.2014	564.7058823529412
09.11.2014	576
10.11.2014	587.7551020408164
11.11.2014	669.7674418604652
12.11.2014	587.7551020408164
13.11.2014	595.8620689655172
14.11.2014	561.038961038961
15.11.2014	617.1428571428571
16.11.2014	576
17.11.2014	600
18.11.2014	561.038961038961
19.11.2014	612.7659574468086
20.11.2014	626.0869565217391
21.11.2014	680.3149606299213
22.11.2014	561.038961038961
23.11.2014	608.4507042253521
24.11.2014	587.7551020408164
25.11.2014	654.5454545454545
26.11.2014	630.6569343065694
27.11.2014	612.7659574468086
28.11.2014	583.7837837837837
29.11.2014	550.3184713375796
30.11.2014	540
01.12.2014	664.6153846153846
02.12.2014	576
03.12.2014	744.8275862068965
04.12.2014	591.7808219178082
05.12.2014	553.8461538461538
06.12.2014	630.6569343065694
07.12.2014	685.7142857142857
08.12.2014	530.0613496932515
09.12.2014	608.4507042253521
10.12.2014	604.1958041958042
11.12.2014	583.7837837837837
12.12.2014	612.7659574468086
13.12.2014	591.7808219178082
14.12.2014	612.7659574468086
15.12.2014	612.7659574468086
16.12.2014	604.1958041958042
17.12.2014	675
18.12.2014	669.7674418604652
19.12.2014	630.6569343065694
20.12.2014	644.776119402985
21.12.2014	654.5454545454545
22.12.2014	526.829268292683
23.12.2014	576
24.12.2014	564.7058823529412
25.12.2014	546.8354430379746
26.12.2014	568.421052631579
27.12.2014	568.421052631579
28.12.2014	511.2426035502959
29.12.2014	526.829268292683
30.12.2014	557.4193548387096
31.12.2014	568.421052631579
01.01.2015	523.6363636363636
02.01.2015	523.6363636363636
03.01.2015	533.3333333333334
04.01.2015	502.3255813953488
05.01.2015	553.8461538461538
06.01.2015	546.8354430379746
07.01.2015	617.1428571428571
08.01.2015	587.7551020408164
09.01.2015	617.1428571428571
10.01.2015	587.7551020408164
11.01.2015	557.4193548387096
12.01.2015	608.4507042253521
13.01.2015	680.3149606299213
14.01.2015	595.8620689655172
15.01.2015	572.1854304635762
16.01.2015	621.5827338129496
17.01.2015	626.0869565217391
18.01.2015	564.7058823529412
19.01.2015	600
20.01.2015	732.2033898305085
21.01.2015	579.8657718120805
22.01.2015	640
23.01.2015	696.7741935483871
24.01.2015	685.7142857142857
25.01.2015	691.2
26.01.2015	680.3149606299213
27.01.2015	579.8657718120805
28.01.2015	526.829268292683
29.01.2015	526.829268292683
30.01.2015	626.0869565217391
31.01.2015	520.4819277108434
01.02.2015	557.4193548387096
02.02.2015	543.3962264150944
03.02.2015	680.3149606299213
04.02.2015	543.3962264150944
05.02.2015	543.3962264150944
06.02.2015	488.135593220339
07.02.2015	543.3962264150944
08.02.2015	654.5454545454545
09.02.2015	536.6459627329192
10.02.2015	600
11.02.2015	546.8354430379746
12.02.2015	726.0504201680673
13.02.2015	591.7808219178082
14.02.2015	540
15.02.2015	617.1428571428571
16.02.2015	550.3184713375796
17.02.2015	579.8657718120805
18.02.2015	517.3652694610779
19.02.2015	520.4819277108434
20.02.2015	546.8354430379746
21.02.2015	608.4507042253521
22.02.2015	572.1854304635762
23.02.2015	608.4507042253521
24.02.2015	669.7674418604652
25.02.2015	543.3962264150944
26.02.2015	576
27.02.2015	568.421052631579
28.02.2015	608.4507042253521
01.03.2015	617.1428571428571
02.03.2015	546.8354430379746
03.03.2015	546.8354430379746
04.03.2015	617.1428571428571
05.03.2015	654.5454545454545
06.03.2015	583.7837837837837
07.03.2015	617.1428571428571
08.03.2015	553.8461538461538
09.03.2015	600
10.03.2015	568.421052631579
11.03.2015	561.038961038961
12.03.2015	659.5419847328244
13.03.2015	591.7808219178082
14.03.2015	659.5419847328244
15.03.2015	604.1958041958042
16.03.2015	621.5827338129496
17.03.2015	675
18.03.2015	564.7058823529412
19.03.2015	630.6569343065694
20.03.2015	635.2941176470588
21.03.2015	572.1854304635762
22.03.2015	608.4507042253521
23.03.2015	595.8620689655172
24.03.2015	499.4219653179191
25.03.2015	533.3333333333334
26.03.2015	583.7837837837837
27.03.2015	505.2631578947368
28.03.2015	583.7837837837837
29.03.2015	564.7058823529412
30.03.2015	608.4507042253521
31.03.2015	576
01.04.2015	654.5454545454545
02.04.2015	520.4819277108434
03.04.2015	591.7808219178082
04.04.2015	564.7058823529412
05.04.2015	583.7837837837837
06.04.2015	685.7142857142857
07.04.2015	568.421052631579
08.04.2015	691.2
09.04.2015	649.624060150376
10.04.2015	568.421052631579
11.04.2015	617.1428571428571
12.04.2015	675
13.04.2015	553.8461538461538
14.04.2015	579.8657718120805
15.04.2015	708.1967213114754
16.04.2015	626.0869565217391
17.04.2015	685.7142857142857
18.04.2015	591.7808219178082
19.04.2015	595.8620689655172
20.04.2015	561.038961038961
21.04.2015	564.7058823529412
22.04.2015	568.421052631579
23.04.2015	664.6153846153846
24.04.2015	696.7741935483871
25.04.2015	530.0613496932515
26.04.2015	600
27.04.2015	630.6569343065694
28.04.2015	564.7058823529412
29.04.2015	680.3149606299213
30.04.2015	644.776119402985
01.05.2015	583.7837837837837
02.05.2015	587.7551020408164
03.05.2015	612.7659574468086
04.05.2015	675
05.05.2015	561.038961038961
