Time	avg(Block size (kB)) – Ethereum
13.05.2023	116493.96214689265
14.05.2023	110662.4001134269
15.05.2023	117135.30618294749
16.05.2023	129913.92476002258
17.05.2023	129738.43751767035
18.05.2023	116119.9801743532
19.05.2023	113343.98320158102
20.05.2023	112736.69774964839
21.05.2023	116251.45806906272
22.05.2023	115337.71983122363
23.05.2023	112147.17942212826
24.05.2023	123715.52952755906
25.05.2023	127311.23464079853
26.05.2023	129792.63109113889
27.05.2023	124587.29717973902
28.05.2023	129549.47489481066
29.05.2023	121203.14661231375
30.05.2023	122123.4695945946
31.05.2023	124286.68023092087
01.06.2023	113935.07832089027
02.06.2023	124334.9981664316
03.06.2023	127685.03774116322
04.06.2023	126344.06191819464
05.06.2023	126886.67514843088
06.06.2023	124515.5023957159
07.06.2023	121020.89575398505
08.06.2023	120772.73251377702
09.06.2023	124599.31281690141
10.06.2023	121489.75355383533
11.06.2023	123477.22729193071
12.06.2023	129235.19589079652
13.06.2023	128065.16842401237
14.06.2023	136985.12795941374
15.06.2023	130752.415787252
16.06.2023	125978.22808988763
17.06.2023	128611.82838745801
18.06.2023	113832.17134437272
19.06.2023	116479.06459766887
20.06.2023	131237.71847795564
21.06.2023	128807.5327259986
22.06.2023	127231.3743323025
23.06.2023	123664.28547321052
24.06.2023	115355.71265822784
25.06.2023	123535.45850914206
26.06.2023	131328.34998592737
27.06.2023	138408.00281769512
28.06.2023	137389.87963610917
29.06.2023	128960.54899761672
30.06.2023	129751.42077192983
01.07.2023	123796.86712598425
02.07.2023	126056.77972518228
03.07.2023	127421.25991003655
04.07.2023	125113.70091356289
05.07.2023	81883.5413165266
06.07.2023	102559.98932734167
07.07.2023	124126.82666666666
08.07.2023	128608.92409333707
09.07.2023	132285.73573235873
10.07.2023	134183.68172224567
11.07.2023	136483.16746277045
12.07.2023	145940.98199971876
13.07.2023	147052.93076273572
14.07.2023	140248.93280854652
15.07.2023	151199.9296432616
16.07.2023	142672.50422178442
17.07.2023	136321.0037820423
18.07.2023	133806.62468443197
19.07.2023	137526.68807854137
20.07.2023	135720.77763783935
21.07.2023	128431.23021985716
22.07.2023	142345.44427352818
23.07.2023	140242.71520492376
